,id,cell_type,within,outside,specificity
0,0,0,0.00366154418639612,0.029694702172735937,-0.38657255991084555
1,1,0,0.01824916054322717,0.01649279621189486,0.026080672043533783
2,2,0,0.02663259186986016,0.032599335311032776,-0.08860159369046429
3,3,0,0.06734352275894541,0.011170203506950084,0.8341309891534251
4,4,0,0.0030450996705898713,0.013130521097226306,-0.14976082351285616
5,5,0,0.035062483609177054,0.03176079173231318,0.04902760861920167
6,0,1,0.013039021183056927,0.03510929140009233,-0.3993852371091343
7,1,1,0.0102404273772491,0.026429898318292573,-0.29296585981395445
8,2,1,0.0535449672096814,0.026171564385968495,0.49535111576449675
9,3,1,0.004987666508692638,0.005041022234564756,-0.0009655291493493986
10,4,1,0.008300708969709742,0.01442536272843467,-0.11083218599433531
11,5,1,0.05526060596727708,0.02321592829019322,0.5798828499285607
12,0,2,0.025393516232868573,0.029676298388474222,-0.09084336083147496
13,1,2,0.004047483050349156,0.029980317691512076,-0.5500690366907042
14,2,2,0.037379544097607104,0.023484826329031757,0.29472497410359105
15,3,2,0.004494388735720751,0.02075330574037092,-0.3448727043585918
16,4,2,0.047144690777686106,0.0034004649516606138,0.9278717307173415
17,5,2,0.035614344412248346,0.023077963089425398,0.2659128974233616
18,0,3,0.03826055209047298,0.023370915661620202,0.3891641812602164
19,1,3,0.012182662527432931,0.029494758903966117,-0.452479000710603
20,2,3,0.03656374771149491,0.02773013120357838,0.23088052903753406
21,3,3,0.005863366825483259,0.020534380661173263,-0.3834501342531108
22,4,3,0.0030074517310576974,0.004723779261323625,-0.0448589326731984
23,5,3,0.029235034134162605,0.029584356047704014,-0.009130080316545964
24,0,4,0.06311620125113847,0.013940244407052731,0.7791336593343966
25,1,4,0.004248207970270836,0.029444577673985697,-0.3992060549312666
26,2,4,0.013641277468128783,0.033664697860947966,-0.3172469191095053
27,3,4,0.003861334793707124,0.02069264414667667,-0.26667177395543823
28,4,4,0.003805099939771206,0.015558676970802349,-0.18622123635520818
29,5,4,0.014311130072216743,0.034910159632711914,-0.32636675135963783
30,0,5,0.01366689602588931,0.02008865842319865,-0.07533633271897486
31,1,5,0.08524123972511737,0.011179933374564587,0.8688436089078807
32,2,5,0.017101688266643187,0.038530212722160895,-0.2513868231459277
33,3,5,0.005944998583347888,0.020672236207210513,-0.17277127446004362
34,4,5,0.00374420846522368,0.015374487787260853,-0.1364395844023626
35,5,5,0.013703204542145186,0.038793117030716265,-0.29434007024628045
