,comp_1,comp_2,comp_3,comp_4,nmf_cluster
0,0.34575316734928985,0.0,0.201391071516462,0.5954829609889573,4.0
1,0.3094921744281164,0.0,0.16280650704702185,0.6030970918173975,4.0
2,0.7003302860855163,0.18612048148477575,0.16067643009493845,0.0,1.0
3,0.17806990011072596,0.036298830084319576,0.13762120700906344,0.7236914018516938,4.0
4,0.09904043529472877,0.004058558805027448,0.0,1.0,4.0
5,0.0809030722551882,0.3427865670058739,0.10909225327059835,0.3043386757830256,2.0
6,0.8281125995353114,0.013572254630215132,0.04524436971135824,0.08653929979957996,1.0
7,0.7609183526720894,0.03299900072761324,0.17405788913852374,0.04908514426722791,1.0
8,0.56938736692003,0.0,0.12185091445449893,0.32524943603974976,1.0
9,0.4947429050668829,0.23118824688562875,0.33588087574267095,0.15877444221739181,1.0
10,0.31898522543725144,0.1545520058736085,0.14055375203154405,0.32274488333814794,4.0
11,0.5155336374347256,0.09228613655912654,0.0,0.2801799539362078,1.0
12,1.0,0.08916772307853463,0.0,0.07591780904437202,1.0
13,0.5322863022788089,0.0,0.053474044793908854,0.18003211894733726,1.0
14,0.13366594490622055,0.1312626248928837,0.0,0.6417368375695828,4.0
15,0.6354641649717835,0.0,0.16388935818497177,0.25488579535372613,1.0
16,0.2866918377436079,0.3329737489760678,0.0,0.38962995424310787,4.0
17,0.5370594825678,0.06941230900971908,0.0,0.35393588515347457,1.0
18,0.04470599081636709,0.0,0.021106843239604767,0.9075059204652751,4.0
19,0.22094613484609857,0.42370860765988794,0.4921725968125859,0.0,3.0
20,0.0,0.0,0.9027417432869358,0.3228239823899164,3.0
21,0.0,0.0,0.8260797752922203,0.17191980334469037,3.0
22,0.14545914193531687,0.07102043348392176,1.0,0.0,3.0
23,0.09973208907673292,0.1854135077533025,0.6852191002241808,0.007651837005620999,3.0
24,0.13240111027435245,0.09633092369727284,0.7876215388106028,0.0,3.0
25,0.2657791205121902,0.14665555831695548,0.6739005405580609,0.008759747947618447,3.0
26,0.0,0.0,0.6836256466186801,0.28488833276549913,3.0
27,0.07511570489736985,0.48823232907792347,0.1802372835988808,0.35782800690465966,2.0
28,0.0,0.277319017144368,0.12882701128766608,0.5813387193104574,4.0
29,0.06356787034976068,0.9553556909769203,0.15076887008865536,0.07081189230865337,2.0
30,0.0,1.0,0.0,0.19178179400668544,2.0
31,0.01996242103279657,0.6579420414416939,0.06742008502796572,0.3563381680537325,2.0
32,0.11109539514846467,0.6696381195946964,0.1385569553726499,0.27451692581110654,2.0
33,0.21184088116966718,0.6849935946988275,0.0,0.0,2.0
34,0.1140522744481434,0.9511348779981553,0.09669356863597728,0.0,2.0
35,0.0,0.5033620540710908,0.2683336881243299,0.3000771463211638,2.0
36,0.09013021836360627,0.5547334196393976,0.22906091513326587,0.3635030240082134,2.0
37,0.0,0.867169071321843,0.0,0.43120194451936167,2.0
